epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.5791,1.64809,3.3725,1.45327,0.00333,1,0.77594,0.36083,1.09477,3.50422,1.07992,0.0004,0.0004,0.0004
2,126.683,1.39889,2.29116,1.25944,0.67229,0.5,0.68025,0.31689,1.48019,3.41997,1.3302,0.000819199,0.000819199,0.000819199
3,180.046,1.33229,2.04995,1.25493,0.8616,0.42471,0.7681,0.31639,1.58084,3.3153,1.4452,0.00123516,0.00123516,0.00123516
4,238.455,1.32769,1.83751,1.27726,0.67662,0.47558,0.55419,0.24192,1.46458,3.23329,1.40024,0.00164545,0.00164545,0.00164545
5,289.687,1.50056,1.8728,1.37172,0.64851,0.75,0.75292,0.4023,1.47193,2.81579,1.56642,0.0019689,0.0019689,0.0019689
6,337.655,1.30606,1.80032,1.27853,0.76482,0.65909,0.79064,0.39124,1.64687,2.88813,1.63887,0.00195155,0.00195155,0.00195155
7,389.265,1.31547,2.04697,1.29717,0.68026,0.72727,0.73814,0.27879,1.68029,2.90122,1.65615,0.00193048,0.00193048,0.00193048
8,449.946,1.29768,1.70072,1.25256,0.94531,0.78588,0.8982,0.46645,1.61023,2.45899,1.63318,0.00190578,0.00190578,0.00190578
9,509.808,1.41843,1.68011,1.39063,0.93729,0.90909,0.93343,0.56928,1.48429,2.21641,1.52715,0.00187754,0.00187754,0.00187754
10,558.616,1.27737,1.68127,1.29212,0.92895,0.79545,0.895,0.5463,1.36492,2.27253,1.35512,0.00184588,0.00184588,0.00184588
11,601.62,1.23796,1.55672,1.24003,0.32283,0.65909,0.39425,0.21141,1.56091,3.17228,1.47817,0.00181093,0.00181093,0.00181093
12,648.815,1.24196,1.47976,1.24318,0.5495,0.55455,0.54572,0.32714,1.51507,2.772,1.43989,0.00177281,0.00177281,0.00177281
13,699.913,1.20018,1.42097,1.22822,0.87103,0.76759,0.87938,0.54677,1.39322,2.2242,1.34667,0.00173168,0.00173168,0.00173168
14,744.544,1.24465,1.43748,1.26428,0.93366,0.93182,0.98512,0.5935,1.2856,1.81763,1.25134,0.0016877,0.0016877,0.0016877
15,797.993,1.28663,1.44386,1.29479,0.91996,0.97727,0.98162,0.61848,1.28276,1.66027,1.27834,0.00164105,0.00164105,0.00164105
16,854.759,1.21489,1.34704,1.246,0.92797,0.97727,0.98483,0.6089,1.31084,1.67201,1.30305,0.00159191,0.00159191,0.00159191
17,904.646,1.19904,1.33025,1.21534,0.95367,0.93573,0.98861,0.59755,1.33406,1.66066,1.30974,0.00154047,0.00154047,0.00154047
18,952.065,1.20312,1.21723,1.19353,1,0.93054,0.97496,0.58216,1.33603,1.53375,1.33274,0.00148694,0.00148694,0.00148694
19,1003.19,1.22498,1.23797,1.23738,0.99846,0.90909,0.95895,0.53647,1.43481,1.60496,1.4138,0.00143152,0.00143152,0.00143152
20,1056.34,1.20563,1.35914,1.2472,0.91388,0.90909,0.94832,0.53483,1.51134,1.71415,1.50454,0.00137444,0.00137444,0.00137444
21,1103.08,1.25262,1.34862,1.25186,0.88187,0.75,0.88491,0.49861,1.52444,1.9801,1.49495,0.00131593,0.00131593,0.00131593
22,1155.49,1.16925,1.09156,1.19964,0.85744,0.90909,0.92301,0.52497,1.45027,1.72988,1.42378,0.0012562,0.0012562,0.0012562
23,1199.03,1.11152,1.12666,1.16219,0.90406,0.90909,0.95816,0.56777,1.36103,1.58497,1.36039,0.00119551,0.00119551,0.00119551
24,1245.35,1.1031,1.06139,1.19066,0.97715,0.97212,0.99168,0.54291,1.36549,1.52071,1.35086,0.00113408,0.00113408,0.00113408
25,1305.06,1.03653,1.04718,1.15204,0.91437,0.97727,0.96797,0.49589,1.53468,1.58874,1.4491,0.00107216,0.00107216,0.00107216
