epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,621.618,1.14242,1.3053,1.23548,0.81961,0.66667,0.72428,0.27758,2.08951,2.37097,1.51854,0.000663793,0.000663793,0.000663793
2,1281.34,0.91076,0.7024,1.0681,0.87405,0.46288,0.50558,0.15344,2.33606,2.36846,1.77267,0.00119874,0.00119874,0.00119874
3,1932.01,0.85907,0.53871,1.02835,0.58087,0.16667,0.19295,0.06014,2.232,3.35032,1.85545,0.0016017,0.0016017,0.0016017
4,2546.65,0.79593,0.45478,0.99196,0.87698,0.6,0.734,0.26013,2.2936,1.6505,1.63834,0.001406,0.001406,0.001406
5,3188.79,0.69768,0.39597,0.94447,0.62427,0.4,0.39583,0.15764,2.39189,3.16143,1.92013,0.001208,0.001208,0.001208
6,4056.72,0.58487,0.33766,0.90611,0.37583,0.13333,0.12973,0.03615,2.81269,4.31401,2.32277,0.00101,0.00101,0.00101
7,4696.18,0.5068,0.30097,0.86734,0.54562,0.33333,0.30984,0.07149,2.9675,3.13241,2.22828,0.000812,0.000812,0.000812
8,5353.15,0.42814,0.26405,0.83545,0.53841,0.36667,0.30217,0.06545,3.04664,2.79393,2.11845,0.000614,0.000614,0.000614
9,5999.92,0.36667,0.23585,0.81601,0.54132,0.3,0.32805,0.07284,2.91234,3.13329,2.2522,0.000416,0.000416,0.000416
10,6672.36,0.32068,0.21491,0.80397,0.53686,0.27069,0.2779,0.06633,3.01493,3.3922,2.37189,0.000218,0.000218,0.000218
